page	tokens	newtokens
https://www.ilpost.it/2020/09/03/le-dimissioni-di-abe-spiegate-dal-giappone/	['commenti', 'visibili', 'Giappone', 'più', 'Questa', 'la', 'Per', 'si', 'euro', 'buffo', 'Podcast', 'sua', '3', 'quotidiano', 'e', 'avere', 'gli', 'oppure', 'abbonato', 'poliomielite', 'Abe', 'conta', 'Post', 'zaini', 'prossimo', 'commentare', 'dal', 'come', 'se', 'inclinazione', 'sembra', 'contenuti', 'lui', 'lavoro', 'Bordone', 'vuole', 'Ascolta', 'Capito', 'del', 'tienimi', 'ci', 'le', 'o', 'Cosa', 'accedere', 'dici', 'il', 'giovedì', 'puntate', 'parte', 'dei', 'articoli', 'stata', 'parole', 'chiama', 'pagina', 'abbonati', 'musica', 'che', 'pensa', 'dire', 'esserlo', 'in', 'Bielorussia', 'Se', 'Matteo', 'per', 'podcast', 'pezzo', 'Tienimi', 'tutte', 'cose', 'fare', 'accedi', 'titolo', 'È', 'spiegato', 'Il', 'dice', 'Abbonamento', 'puoi', 'annuale80', 'uno', 'al', 'viene', 'con', 'sul', 'Metti', 'sei', 'Russia', 'aiutare', 'sacco', 'assecondami', 'meglio', 'vuol', 'alla', 'imparare', 'Africa', 'esserci', 'discutere', 'selvaggia', 'però', 'è', 'eradicata', 'Una', 'modo', 'condividere', 'canzone', 'E', 'tornare', 'fatto', 'Vai', 'fa', 'spalleggiami', 'ed', 'scuola', 'mensile8', 'Abbonati', 'Era', 'bordone', 'Settembre', '2020', 'ridere', 'Mostra', 'di', 'perché', 'Eh', 'lo', 'Mick', 'agli', 'ancora', 'i', 'dimissioni', 'spiegate', 'gioco', 'già', 'Le', 'a', 'quando', 'non', 'In', 'un', 'capisce', 'Lynch', 'articolo', 'dalla', '16']	
https://www.ilpost.it/2020/09/03/le-prime-pagine-di-oggi-2605/	['accedi', 'italiani', 'rassegna', 'sì', 'Fatto', 'è', 'riduzione', 'della', 'ogni', 'Silvio', 'TAG', 'figli', 'presentano', 'sei', '2020', 'maggior', 'Lealtrefoto', 'sua', 'occupa', 'positività', 'il', 'parlamentari', 'sul', 'Barbara', 'invece', 'campagna', 'parte', 'presidente', 'Tutto', 'continua', 'fatte', 'sugli', 'facile', 'e', 'titolano', 'Navalny', 'delle', '3', 'ex', 'A', 'apertura', 'per', 'o', 'economici', 'Il', 'Italia', 'prime', 'di', 'riapertura', 'dell', 'Luigi', 'Daverio', 'coronavirus', 'degli', 'al', 'I', 'Secolo', 'se', 'positivo', 'oppure', 'Settembre', 'sono', 'stampa', 'Come', 'avvelenamento', 'Messaggero', 'Vai', 'Media', 'la', 'sull', 'Manifesto', 'effetti', 'cose', 'sulla', 'sui', 'XIX', 'articoli', 'Svimez', 'articolo', 'rapporto', 'commentare', 'l', 'serie', 'commenti', 'quotidiani', 'Le', 'edicola', 'piante', 'i', 'giovedì', 'numero', 'La', 'gli', 'modalità', 'Post', 'Berlusconi', 'quasi', 'calendario', 'Per', 'più', 'oggi', 'notizie', 'scuole', 'si', 'Mattino', 'sportivi', 'giornali', 'Mostra', 'occupano', 'referendum', 'già', 'dei', 'Abbonarsi', 'mangiamo', 'abbonato', 'che', 'morte', 'meridionale', 'giorno', 'insegnanti', 'diventato', 'pagine', 'in', 'Consiglio', 'prossimo', 'abbonati', 'precari', 'titoli', 'le', 'del']	
https://www.ilpost.it/2020/09/03/peanuts-2020-settembre-3/	['3', 'Peanuts', '2020', 'ILPA', 'Universal', 'by', '202005', 'distributed', 'peanuts', 'Settembre', 'Random', 'Agosto', 'Uclick', 'LLC', 'Worldwide', '31']	
https://www.ilpost.it/2020/09/03/giovedi-3-settembre-2/manila-filippine-140/	['3', 'Manila', 'Filippine', 'compleasso', 'residenziale', 'della', 'Giovedì', 'Un', 'EPA', 'settembre', 'CRISTINO', 'all', 'articolo', 'capitale', 'R', 'MARK', 'Torna', 'ansa']	compleasso, 
https://www.ilpost.it/2020/09/03/le-prime-pagine-di-oggi-2605/1_la_stampa-130/	['Le', 'prime', 'di', 'pagine', 'oggi', 'articolo', 'Torna', 'all']	
https://www.ilpost.it/2020/09/03/le-prime-pagine-di-oggi-2605/2_corriere_della_sera-131/	['Le', 'prime', 'di', 'pagine', 'oggi', 'articolo', 'Torna', 'all']	
https://www.ilpost.it/2020/09/03/le-prime-pagine-di-oggi-2605/3_la_repubblica-129/	['Le', 'prime', 'di', 'pagine', 'oggi', 'articolo', 'Torna', 'all']	
https://www.ilpost.it/2020/09/03/le-prime-pagine-di-oggi-2605/	['accedi', 'italiani', 'rassegna', 'sì', 'Fatto', 'è', 'riduzione', 'della', 'ogni', 'Silvio', 'TAG', 'figli', 'presentano', 'sei', '2020', 'maggior', 'Lealtrefoto', 'sua', 'occupa', 'positività', 'il', 'parlamentari', 'sul', 'Barbara', 'invece', 'campagna', 'parte', 'presidente', 'Tutto', 'continua', 'fatte', 'sugli', 'facile', 'e', 'titolano', 'Navalny', 'delle', '3', 'ex', 'A', 'apertura', 'per', 'o', 'economici', 'Il', 'Italia', 'prime', 'di', 'riapertura', 'dell', 'Luigi', 'Daverio', 'coronavirus', 'degli', 'al', 'I', 'Secolo', 'se', 'positivo', 'oppure', 'Settembre', 'sono', 'stampa', 'Come', 'avvelenamento', 'Messaggero', 'Vai', 'Media', 'la', 'sull', 'Manifesto', 'effetti', 'cose', 'sulla', 'sui', 'XIX', 'articoli', 'Svimez', 'articolo', 'rapporto', 'commentare', 'l', 'serie', 'commenti', 'quotidiani', 'Le', 'edicola', 'piante', 'i', 'giovedì', 'numero', 'La', 'gli', 'modalità', 'Post', 'Berlusconi', 'quasi', 'calendario', 'Per', 'più', 'oggi', 'notizie', 'scuole', 'si', 'Mattino', 'sportivi', 'giornali', 'Mostra', 'occupano', 'referendum', 'già', 'dei', 'Abbonarsi', 'mangiamo', 'abbonato', 'che', 'morte', 'meridionale', 'giorno', 'insegnanti', 'diventato', 'pagine', 'in', 'Consiglio', 'prossimo', 'abbonati', 'precari', 'titoli', 'le', 'del']	
https://www.ilpost.it/2020/09/03/russia-milione-casi-vaccino-coronavirus/	['prime', 'completare', 'crescere', 'scala', 'Golovkin', 'coronavirus', 'sorpresa', 'nuovi', 'migliaia', 'e', 'iniziale', 'a', 'quarto', 'morte', '17', 'Settembre', 'Photo', 'virus', 'inizio', 'vaccinazione', 'solo', 'insegnanti', 'Post', 'diverse', 'Vai', 'pandemia', 'confermato', 'dell', 'dei', 'cominciare', 'raccontato', 'di', 'Brasile', 'Questo', 'Tutto', '3', 'ma', 'cominciavano', 'dosi', 'A', 'Europa', 'superato', 'riportato', 'però', 'grossi', 'medici', 'nemmeno', 'abbonato', 'intorno', 'completamento', 'polizia', 'oppure', 'governo', 'più', 'raggiunto', 'lavorativi', 'o', 'scelta', 'dai', 'prima', 'paese', 'obbligatorio', 'inizieranno', 'sei', 'stata', 'perplessità', 'avviare', 'casi', 'uomo', 'Cosa', 'Vaccinarsi', 'tempistiche', 'riportare', 'ritenuto', 'cominciato', 'sappiamo', 'diffusione', 'positivo', 'diversi', 'voler', 'Cina', 'altro', 'In', 'ci', 'tuttora', 'rifiutarsi', 'massa', 'vaccinazioni', 'piante', '2020', 'milione', 'molti', 'dicembre', 'diminuire', 'confermati', 'nuovo', 'tempestiva', 'fa', 'Oggi', 'delle', 'quasi', 'base', 'ad', 'sono', 'significa', 'i', 'che', 'giovedì', 'tra', 'meno', 'legato', 'anche', 'nel', 'l', 'pericoloso', 'efficace', 'cali', 'deciso', 'alla', 'fare', 'larga', 'non', 'è', 'paure', 'le', 'essere', 'maggio', 'commentare', 'accedi', 'evitare', 'agosto', 'volontaria', 'entro', 'epidemia', 'farlo', 'distribuite', 'AP', 'confini', 'mondo', 'articolo', 'venga', 'ministro', 'corso', 'Difesa', 'isolare', 'legate', 'fatto', '365', 'molto', 'popolazione', 'abbonati', 'Il', 'contagi', 'altri', 'controllo', 'significativi', 'suoi', 'incappucciato', 'ha', 'peggiorate', 'sotto', 'diminuiscono', 'clinici', 'sputnik', 'test', 'aver', 'mesi', 'V', 'prossimo', 'detto', 'aprile', 'massimo', 'sviluppato', 'articoli', 'asfissiato', 'russo', 'La', 'personale', 'rapidamente', 'Mondo', 'speranze', 'Al', 'nonostante', 'Salute', 'dove', 'successo', 'quelle', 'grave', 'aveva', 'affinché', 'Pavel', 'protocolli', 'Ad', 'suo', 'circolano', 'poche', 'cominciando', 'riapertura', 'annunciate', 'del', 'potrebbero', 'ridosso', 'pressioni', 'fine', 'mentre', 'comportare', 'I', 'distribuzione', 'rischi', 'Mostra', 'vaccino', 'la', 'impiego', 'prendersi', 'problemi', 'consegne', 'confine', 'avranno', 'militari', 'Mikhail', 'per', 'iniziata', '5mila', 'alcuni', 'Stati', 'potenzialmente', 'ogni', 'quello', 'dopo', 'tutti', 'ottobre', 'Murashko', 'normali', 'Mentre', 'una', 'novembre', 'contagio', '4mila', 'enormemente', 'India', 'quelli', 'numero', 'sembrato', 'persone', 'può', 'settembre', 'russia', 'qualunque', 'uno', 'paesi', 'Per', 'Italia', 'riaprire', 'saranno', 'v', 'sembrava', 'annunciato', 'grandi', 'mangiamo', 'vengono', 'cose', 'dubbi', 'Uniti', 'Russia', 'gli', 'il', 'questo', 'martedì', 'dovrebbero', 'era', 'Reuters', 'settimane', 'salute', 'livello', 'sistema', 'con', 'della', 'causa', 'comunque', 'sulla', 'esito', 'somministrazione', 'distribuire', 'accettata', 'primi', 'in', 'offerto', 'già', 'Come', 'TAG', 'esercito', 'hanno', 'lo', 'data', 'Sputnik', 'video', '1', 'afroamericano', 'giorno', 'stato', 'sarà', 'dalla', 'riuscita', 'scuole', 'al', 'nei', 'cominciata', 'vuole', 'Bielorussia', 'su', 'molte', 'testato', 'un', 'chiusura', 'Negli', 'se', 'quotidiani', 'previsti', 'cui', 'formalmente', 'produzione', 'morto', 'fatte', 'Lunedì', 'commenti', 'situazione', 'Leggi', 'individuare', 'diffuso', 'superamento', 'da']	asfissiato, 
https://www.ilpost.it/2020/09/03/foto-primo-giorno-venezia-2/	['prime', 'sale', 'mascherine', 'adottate', 'Le', 'primo', 'coronavirus', 'canzone', 'e', 'a', 'Settembre', 'inizio', 'temperatura', 'mano', 'ben', 'preside', 'Post', 'zaini', 'Vai', 'pandemia', 'dell', 'clima', 'tracciamento', 'di', 'Celotto', '3', '77ª', 'grande', 'Starnone', 'abbonato', 'Tilda', 'cinema', 'fotografare', 'si', 'valeva', 'cerimonia', 'oppure', 'red', 'festival', 'nero', 'foto', 'Lucchetti', 'o', 'Morante', 'omonimo', 'durante', 'sei', 'tiene', 'oro', 'attrici', 'Lacci', 'ieri', 'È', 'abbinate', 'vedere', 'internazionali', 'innescherà', 'Giappone', '2020', 'delle', 'Marracash', 'sono', 'i', 'che', 'giovedì', 'tra', 'Lealtrefoto', 'distanziati', 'anche', 'corporea', 'l', 'premiazione', 'semplici', 'Dario', 'alla', 'è', 'Guarda', 'le', 'commentare', 'accedi', 'Daniele', 'completi', 'articolo', 'Getty', 'come', 'film', 'abbonati', 'proiezione', 'Armani', 'Il', 'Blanchett', 'Zunino', 'controllo', '16', 'vestiti', 'd', 'Franceschini', 'state', 'viste', 'chirurgiche', 'articoli', 'carpet', 'carriera', 'misure', 'erano', 'partecipanti', 'sul', 'del', 'preventive', 'Cultura', '2', 'Mostra', 'I', 'Mick', 'giuria', 'la', 'tornare', 'per', 'iniziata', 'Roberta', 'piatto', 'dopo', 'tutti', 'nelle', 'proiezioni', 'ufficiale', 'tratto', 'una', 'c', 'prossimo', 'cotoletta', 'scuola', 'settembre', 'concorso', 'Leone', 'persone', 'Per', 'grandi', 'gli', 'il', 'questo', 'romanzo', 'obbligo', 'migrazioni', 'attrice', 'Venezia', 'distanziamento', 'tenute', 'con', 'della', 'Una', 'Domenico', 'frequente', 'in', 'già', 'Elodie', 'TAG', 'edizione', 'gruppo', 'Anche', 'giorno', 'tipico', 'lavoro', 'motivo', 'venezia', 'Lynch', 'apertura', 'colossali', 'al', 'Images', 'poi', 'portata', 'Tra', 'un', 'Swinton', 'se', 'Vittorio', 'cinematografico', 'pena', 'Cate', 'Festival', 'bianco', 'commenti', 'Leggi', 'Laura', 'fv20', 'da']	
